org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
18세,2,0,2,3,4,1,2
1분기,2,1,2,5,3,2,2
2o,1,0,1,1,1,1,0
2oo,1,0,1,1,1,1,0
2차관,4,0,2,1,2,2,2
3a,1,0,1,1,1,1,0
3a1,1,0,1,1,1,1,0
3대,8,6,6,4,6,6,5
4o,1,0,1,1,1,1,0
4중,4,3,4,3,3,3,2
6월,2,1,2,3,3,1,2
8GB,1,0,1,1,1,1,0
8월,4,3,2,1,3,3,3
9o,1,0,1,1,1,1,0
AI,13,5,11,15,13,8,12
DIC,4,0,3,2,2,2,3
FOMC,4,3,2,1,3,3,3
GHz,1,0,1,1,1,1,0
GO,2,0,1,0,1,1,4
LED,0,5,1,4,1,2,2
LG,5,4,5,7,7,4,4
LG그룹,2,1,2,3,3,1,2
LG전자,2,5,2,8,4,4,4
LNG,3,2,5,2,3,2,2
Mi,1,0,1,1,1,1,0
OLED,2,3,2,3,2,2,5
OS,2,1,2,5,3,2,2
OTT,1,0,1,1,1,1,0
PC,1,0,1,1,1,1,0
PDF,1,0,1,1,1,1,0
RGB,0,1,1,1,0,0,0
SK오션플랜트,3,2,5,2,3,2,2
SMR,3,5,3,3,3,2,3
TCL,0,4,0,3,1,2,2
vs,3,2,5,2,3,2,2
YTN,2,0,2,3,4,1,2
간담회,4,0,2,1,2,2,2
감축,3,2,5,2,2,2,3
개막식,3,1,1,2,5,1,1
개발,2,3,2,3,2,2,5
거래일,2,3,2,3,2,2,5
것으로,6,11,6,10,10,6,8
결실,3,0,3,3,3,2,2
경기,4,3,4,3,3,3,2
경기도,4,3,4,3,3,3,2
경기도형,4,3,4,3,3,3,2
경기주택도시공사,4,3,4,3,3,3,2
경제,4,0,2,1,2,2,2
경제성,3,5,3,3,3,2,3
고용,0,0,2,0,0,1,0
공포,0,2,0,2,2,0,2
구축,3,2,5,2,2,2,3
국방부,3,1,1,2,5,1,1
국회,4,0,2,1,2,2,2
군사,3,1,1,2,5,1,1
그것,4,0,3,2,2,2,3
금리,4,3,2,1,3,3,3
금융위원회,4,0,2,1,2,2,2
기간,1,2,1,1,2,1,1
기대감,3,2,5,2,3,2,2
기반,8,6,9,7,6,5,8
기술력,5,4,4,5,4,3,5
기업으로,5,4,4,5,4,3,5
기준금리,4,3,2,1,3,3,3
기회타운,4,3,4,3,3,3,2
김동연,4,3,4,3,3,3,2
냉각,4,0,3,2,2,2,3
노을,5,4,4,5,4,3,5
놓고,3,5,3,3,3,2,3
뉴로핏,5,4,4,5,4,3,5
뉴시스,1,2,1,1,2,1,1
뉴욕증시,4,3,2,1,3,3,3
다이캐스팅,4,2,3,2,5,3,2
달러,2,1,2,3,3,1,2
달리는데,4,0,3,2,2,2,3
당시,0,1,1,1,0,3,0
대박,2,0,1,0,1,1,4
대비,2,3,2,3,2,2,5
대정부질문,4,0,2,1,2,2,2
대한,3,3,3,4,4,3,2
데이터센터,4,0,3,2,2,2,3
두산에너빌리티,3,5,3,3,3,2,3
디스플레,2,3,2,3,2,2,5
디자인,0,1,1,1,0,3,0
디지털데일리,4,0,3,2,2,2,3
따르면,4,3,2,1,3,3,3
로봇,2,1,2,3,3,1,2
롯데월드,0,2,0,2,2,0,2
리어,0,1,1,1,0,3,0
마스크,2,3,2,3,2,2,5
만들겠다,4,3,4,3,3,3,2
많은,4,0,3,2,2,2,3
매출,2,0,1,0,1,1,4
매출액,4,2,3,2,5,3,2
맥스,1,2,1,1,2,1,1
머니투데이방송,2,0,1,0,1,1,4
메시지,3,1,1,2,5,1,1
메탈,2,3,2,3,2,2,5
모델,4,6,5,6,6,7,3
문제,4,0,3,2,2,2,3
물량,4,2,3,2,5,3,2
미국,7,4,3,3,8,4,4
미니,0,1,1,1,0,0,0
미만,2,0,2,3,4,1,2
미성년자인,2,0,2,3,4,1,2
반도체,4,3,3,3,3,3,9
반응,3,3,3,4,4,3,2
발전,3,1,1,2,5,1,1
밝혔습니다.,2,0,2,3,4,1,2
배송,1,2,1,1,2,1,1
베이징,3,1,1,2,5,1,1
벤처스,2,1,2,3,3,1,2
보호,2,0,2,3,4,1,2
부총리,4,0,2,1,2,2,2
부품,3,3,3,4,4,3,2
분석,5,4,4,5,4,3,5
분위기,0,1,1,1,0,3,0
비계,3,0,3,3,3,2,2
사고,3,0,3,3,3,2,2
사업,4,8,4,11,6,6,9
사업부,0,4,0,3,1,2,2
사용자,2,0,2,3,4,1,2
사진,0,2,0,2,2,0,2
산업,11,5,12,7,7,7,8
삼성,3,3,3,4,4,3,2
삼성전자,2,6,3,9,4,4,4
상승,3,2,5,2,3,2,2
상장,4,2,3,2,5,3,2
상전벽해,4,3,4,3,3,3,2
새로운,0,1,1,1,0,3,0
샹산포럼,3,1,1,2,5,1,1
선보인다.,0,2,0,2,2,0,2
성적표,0,0,2,0,0,1,0
소니드,5,4,4,5,4,3,5
소매판매,4,3,2,1,3,3,3
솔루션,5,4,4,5,4,3,5
수습,3,0,3,3,3,2,2
수주,4,2,3,2,5,3,2
스코다,0,1,1,1,0,3,0
스트리트,0,2,0,2,2,0,2
스틸웨어,3,2,5,2,3,2,2
시간,3,0,3,3,3,2,2
시그널,2,0,1,0,1,1,4
시대,4,0,3,2,2,2,3
시리즈,4,5,4,5,6,4,3
시장에서,2,1,2,5,3,2,2
