org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
2022년,0,0,1,2,2,3
4075건으로,0,0,1,2,2,3
5인,0,0,2,1,5,2
7월까지,0,0,1,2,2,3
7의,6,15,10,0,3,2
AI,12,2,18,12,10,16
AI가,1,1,4,4,2,4
AR,5,0,5,2,2,4
Baumer,2,1,3,1,1,4
BYD,8,25,14,0,6,3
BYD코리아가,1,5,3,0,1,0
FAIR,2,1,3,1,1,4
IR,0,1,4,2,1,5
K리그,0,0,2,2,1,3
PR,0,0,2,2,1,3
SCM,2,1,3,1,1,4
SEALION,1,5,3,0,1,0
SUV,6,20,12,0,5,3
가장,0,0,3,0,2,2
갖춰,1,5,1,0,2,1
같은,0,0,2,1,5,2
개발,2,0,1,1,1,2
개인정보,4,0,5,4,3,4
경우,0,0,1,2,2,3
계획이다.,3,1,3,2,2,2
고객,2,5,4,0,1,1
과정을,0,0,2,2,1,3
교육,0,0,2,2,1,3
구단,0,0,2,2,1,3
국내,9,21,14,1,6,7
국방벤처센터,3,1,3,2,2,2
근로시간,0,0,2,1,5,2
글래스를,2,0,1,1,1,2
글로벌,4,0,4,1,1,3
기반의,3,1,3,2,2,2
기본,0,0,3,0,2,2
기술이,0,0,3,0,2,2
내년,3,0,4,1,1,2
노동자의,0,0,2,1,5,2
농생명,1,0,2,1,2,4
높은,4,0,4,1,1,3
다양한,4,2,7,6,4,6
대비,0,0,4,2,4,5
대한,0,0,2,1,5,2
데이터,0,1,4,2,1,5
독일,1,0,4,1,1,5
디지털,2,0,6,2,3,9
따라,4,0,5,4,3,4
따르면,2,0,1,1,1,2
라는,2,0,1,1,1,2
루빈,4,0,5,4,3,4
리더기,2,1,3,1,1,4
마케팅,0,1,4,2,1,5
맞춤형,3,0,2,2,2,1
멀티코드,2,1,3,1,1,4
모델,0,0,3,0,2,2
모빌리티,1,0,2,1,2,4
모터쇼,1,0,4,1,1,5
미래,1,0,4,1,1,5
미만,0,0,2,1,5,2
반도체,4,0,5,4,3,4
방위산업,3,1,3,2,2,2
배송기사용,2,0,1,1,1,2
보조,7,20,13,0,4,2
부사장,1,0,4,1,1,5
부산,2,5,2,0,1,0
북극항로,3,0,2,2,2,1
분야는,1,0,2,1,2,4
불법광고,0,0,1,2,2,3
불법광고는,0,0,1,2,2,3
브랜드,0,1,4,2,1,5
브리티,1,1,4,4,2,4
사람을,1,0,4,1,1,5
사양으로,2,5,4,0,1,1
사업장,0,0,2,1,5,2
삼성SDS,1,1,4,4,2,4
서비스,1,1,4,4,2,4
세계,4,0,4,1,1,3
소비자용,5,0,5,2,2,4
솔루션을,3,1,7,2,2,9
쇼핑,3,0,4,1,1,2
스마트,3,0,4,1,1,2
실무,0,0,2,2,1,3
씨라이언,8,25,14,0,6,3
아마존은,2,0,1,1,1,2
아마존이,3,0,4,1,1,2
아이폰,4,0,5,4,3,4
아이폰17의,0,0,3,0,2,2
아이폰17이,0,0,3,0,2,2
아카데미,0,0,2,2,1,3
안경,3,0,4,1,1,2
안전,3,10,5,0,2,0
앞서,1,5,1,0,2,1
업무,1,1,4,4,2,4
에이전트를,1,1,4,4,2,4
연결하는,1,0,4,1,1,5
연구,4,0,4,1,1,3
연맹,0,0,2,2,1,3
예정이다.,1,0,2,1,2,4
오는,3,0,2,2,2,1
원형탈모,4,0,4,1,1,3
원형탈모증,4,0,4,1,1,3
육군,3,1,3,2,2,2
음성,3,0,4,1,1,2
의료기기,0,0,1,2,2,3
이번,9,1,12,6,5,10
이전,3,0,2,2,2,1
이주형,1,0,4,1,1,5
있다.,12,2,24,13,18,25
자동화,2,1,3,1,1,4
자율운항,4,0,5,4,3,4
장관은,3,0,2,2,2,1
적용,1,1,4,4,2,4
적용제외,0,0,2,1,5,2
전국,6,15,10,0,3,2
전기,1,5,1,0,2,1
전년,0,0,1,2,2,3
전략을,0,1,4,2,1,5
전북도는,1,0,2,1,2,4
전임상,4,0,4,1,1,3
제공,3,0,2,2,2,1
주행,5,15,9,0,3,1
중국산,1,5,1,0,2,1
중이다.,2,0,1,1,1,2
중형,5,15,11,0,3,2
지난,4,0,5,4,3,4
직접,4,1,6,6,4,5
총괄,3,0,2,2,2,1
충전,6,20,10,0,5,2
치료,4,0,4,1,1,3
치료제,4,0,4,1,1,3
커머스,0,1,4,2,1,5
컨설팅,0,1,4,2,1,5
코드명으로,2,0,1,1,1,2
통해,5,2,15,7,11,18
투자,0,1,4,2,1,5
포천시는,3,1,3,2,2,2
프로,0,0,3,0,2,2
하반기,3,0,2,2,2,1
한국,1,5,1,0,2,1
한국프로축구연맹,0,0,2,2,1,3
함께,2,1,3,1,1,4
해양수산부,3,0,2,2,2,1
핵심,1,0,2,1,2,4
홍보,0,0,2,2,1,3
화면,0,0,3,0,2,2
