type,sentence,url,date
LAUNCH,[중앙이코노미뉴스 이상민] 아마존이 소비자용 스마트 안경 출시를 공식화하며 본격적인 증강현실(AR) 기기 시장 진입을 예고했다.,https://www.joongangenews.com/news/articleView.html?idxno=449676,2025-09-11
LAUNCH,"IT 전문 매체 디인포메이션은 아마존이 내부적으로 ‘제이호크(Jayhawk)’라는 코드명으로 소비자용 AR 안경을 개발 중이며, 내년 말 또는 2027년 초 출시를 목표로 하고 있다고 10일(현지시간) 보도했다.",https://www.joongangenews.com/news/articleView.html?idxno=449676,2025-09-11
LAUNCH,"아마존은 앞서 배송 기사용 스마트 안경을 개발해왔으며, 내비게이션을 지원하는 이 기기는 내년 2분기 출시와 함께 초기 10만 대 생산이 계획돼 있다.",https://www.joongangenews.com/news/articleView.html?idxno=449676,2025-09-11
LAUNCH,"메타는 조만간 신제품 발표를 앞두고 있으며, 구글은 삼성전자와 협업 중이고 애플도 내년 말 제품 공개를 준비 중이다.",https://www.joongangenews.com/news/articleView.html?idxno=449676,2025-09-11
INVEST,"지정 예산 확보 및 투자유치 설명회 개최 [경기 위클리오늘=박종국 기자] 파주시는 지난 10일 경제자유구역 지정을 위한 예산을 확보하고, 기업 유치를 위한 설명회(콘퍼런스)를 추진하는 등 경제자유구역 지정을 향한 본격적인 행보에 나섰다.",http://www.weeklytoday.com/news/articleView.html?idxno=723906,2025-09-11
REGUL,"지정 예산 확보 및 투자유치 설명회 개최 [경기 위클리오늘=박종국 기자] 파주시는 지난 10일 경제자유구역 지정을 위한 예산을 확보하고, 기업 유치를 위한 설명회(콘퍼런스)를 추진하는 등 경제자유구역 지정을 향한 본격적인 행보에 나섰다.",http://www.weeklytoday.com/news/articleView.html?idxno=723906,2025-09-11
REGUL,시는 이를 위한 첫 수순으로 2025년도 제3회 추가경정예산에 용역비를 편성해 차별화된 개발계획 마련을 위한 연구용역에 착수할 예정이다.,http://www.weeklytoday.com/news/articleView.html?idxno=723906,2025-09-11
INVEST,아울러 오는 11월 3대 전략산업 관련 기업 및 기관을 대상으로 한 ‘파주경제자유구역 설명회(콘퍼런스)’를 시작으로 적극적인 투자유치 활동을 벌여 나가며 파주경제자유구역 입주 수요를 확보해 나갈 방침이다.,http://www.weeklytoday.com/news/articleView.html?idxno=723906,2025-09-11
INVEST,경제자유구역은 외국인 투자기업과 국내 복귀기업을 유치하기 위한 특별경제구역이다.,http://www.weeklytoday.com/news/articleView.html?idxno=723906,2025-09-11
REGUL,"경제자유구역으로 지정 시 '수도권정비계획법'에 따른 공장총량 등 법적 규제가 완화되며, 입주기업은 조세 감면, 보조금 지원, 입지 지원 등 행정·재정적 혜택을 통해 안정적인 경영 기반을 마련할 수 있다.",http://www.weeklytoday.com/news/articleView.html?idxno=723906,2025-09-11
LAUNCH,"2026년형 연식 변경을 적용한 최신 사양으로, 세계에서 가장 먼저 한국 시장에 출시됐다.",https://www.etnews.com/20250911000193,2025-09-11
INVEST,앞차와의 거리와 속도를 계산해 안전 거리를 유지하는 어댑티브 크루즈 컨트롤을 비롯 △차선 이탈 조향 보조 시스템 △후방 교차 충돌 제동 보조 △전방 교차 충돌 제동 보조 △차량 주변을 360도로 확인할 수 있는 3D 서라운드 뷰 모니터 등이 탑재됐다.,https://www.etnews.com/20250911000193,2025-09-11
REGUL,BYD 코리아는 BYD 씨라이언 7을 기다린 고객 불편과 부담을 최소화하기 위해 국고보조금의 예상 상당액인 180만 원을 선제적으로 지원한다.,https://www.etnews.com/20250911000193,2025-09-11
REGUL,BYD코리아는 국고보조금이 최종 확정된 이후 발생하는 차액도 추가로 제공할 예정이다.,https://www.etnews.com/20250911000193,2025-09-11
REGUL,"BYD 씨라이언 7의 권장소비자가격은 4490만 원(환경친화적 자동차 세제 혜택 적용 후, 전기차 보조금 미포함)이다.",https://www.etnews.com/20250911000193,2025-09-11
LAUNCH,2026년형 연식 변경을 적용한 최신 사양으로 전 세계에서 가장 먼저 한국 시장에 출시됐다.,http://www.rpm9.com/news/article.html?id=20250911090004,2025-09-11
INVEST,앞차와의 거리와 속도를 계산해 안전거리를 유지하는 어댑티브 크루즈 컨트롤을 비롯해 ▲차선 이탈 조향 보조 시스템 ▲후방 교차 충돌 제동 보조 ▲전방 교차 충돌 제동 보조 ▲차량 주변을 360도로 확인할 수 있는 3D 서라운드 뷰 모니터 등 다양한 첨단 주행 안전 보조 시스템들이 운전자의 안전과 편의성을 한층 강화했다.,http://www.rpm9.com/news/article.html?id=20250911090004,2025-09-11
REGUL,BYD 코리아는 BYD 씨라이언 7을 기다려온 고객들의 불편과 부담을 최소화하기 위해 국고보조금의 예상 상당액인 180만원을 선제적으로 지원한다.,http://www.rpm9.com/news/article.html?id=20250911090004,2025-09-11
REGUL,이를 통해 아직 국고보조금 산정이 완료 전임에도 신속한 출고가 가능하게 했다.,http://www.rpm9.com/news/article.html?id=20250911090004,2025-09-11
REGUL,BYD코리아는 국고보조금이 최종 확정된 이후 발생하는 차액도 추가로 제공할 예정이다.,http://www.rpm9.com/news/article.html?id=20250911090004,2025-09-11
REGUL,"BYD 씨라이언 7의 권장소비자가격은 4490만원(환경친화적 자동차 세제 혜택 적용 후, 전기차 보조금 미포함)이다.",http://www.rpm9.com/news/article.html?id=20250911090004,2025-09-11
INVEST,"[NH투자증권 집계] 두산에너빌리티, 삼성중공업 등 매수 상위권 NH투자증권을 이용하는 투자고수들이 11일 오전 가장 많이 매수한 종목은 두산에너빌리티(034020)로 나타났다.",https://www.widedaily.com/news/articleView.html?idxno=277769,2025-09-11
INVEST,이날 NH투자증권에 따르면 NH투자증권을 이용하는 최근 3개월간 투자수익률 상위 5%의 개인고객들에 해당하는 '투자고수'들이 11일 오전(9시~11시30분) 기준 가장 많이 매수한 종목은 두산에너빌리티로 집계 되었다.,https://www.widedaily.com/news/articleView.html?idxno=277769,2025-09-11
ORDER,"체코, 폴란드, 영국 등의 원전 관련 수주 강화와 분당열병합 및 함안복합 가스터빈 사업 본격화, 소형모듈원전(SMR) 사업 확대, 두산밥캣의 미국향 온쇼어링 관련 수주에 따른 성장 기대된다.",https://www.widedaily.com/news/articleView.html?idxno=277769,2025-09-11
ORDER,"정동익 연구원은 “삼성중공업의 임단협이 이달 중 마무리되어 3분기 실적에 반영될 경우, 영업이익은 그만큼 줄어들 수 있다”며 “올해 조선·해양 부문 신규 수주 목표인 98억달러 대비 현재 달성률은 49%로 다소 더딘 상황이나, 4분기 중 해양플랜트 수주를 통해 만회할 것으로 전망된다”고 분석하였다.",https://www.widedaily.com/news/articleView.html?idxno=277769,2025-09-11
INVEST,같은 날 한국투자증권도 삼성중공업의 목표주가를 33.3% 상향한 3만2000원으로 제시하였다.,https://www.widedaily.com/news/articleView.html?idxno=277769,2025-09-11
